髙子涵,2023-03-21 23:45:41,"

                        最后一集太拉垮了这个剧 首先，网上很多人吐槽宋佳的演技，说她整天嘴巴不张开，一脸阴郁，这可能就是演员的说话方式，她平时可能就这样的。再加上她最近演的女主的戏都多少带点儿文青，比如原生家庭不幸啊，婚姻生活不顺畅啊，这就是她表演的一种方式，别喷。（举例凯丽演的丈"
从前峰,2023-03-21 02:23:33,"

                        最近去电影院频次多了，每部电影感受都不同，而令我印象最深，最想写点什么的，就是这部《拨浪鼓咚咚响》。 那天本来是打算看两部电影的，可是临时有任务不得不取消其中一场，活干完之后就去那家我看这部电影的电影院。出地铁后跟着导航步行到电影院，走了一条新路，那条路我挺"
徐若风,2023-03-18 18:42:28,"

                        先摆出结论：二刷完后，个人认为在《铃芽之旅》里，新海诚拿出了目前最高的创作水准。 电影的宣传一直在说，这是新海诚“集大成之作”。首映看完后，我才理解到，这并不是说《铃芽之旅》像是集拼盘一样，集齐新海诚所有过往的优点；而是新海诚真的向前迈开了好几步。这是另一种"
Connor,2023-03-21 23:33:29,"
                            <p class=""spoiler-tip"">这篇影评可能有剧透<"
青吾,2023-03-21 19:45:26,"

                        大概是在2002年，我正上初二，我爸在做小学老师，放学后我就去他那里吃饭。有一天我在他桌上看到一本叫《人生》的书，就一边吃饭一边翻看起来。 我读到高加林在夏日的雷雨爆发之前，赶着回到了自己家的土窑洞里，垂头丧气地躺在炕上的铺盖卷上——他刚刚失去了自己的民办教师工"
圈圈儿,2023-03-20 11:29:50,"
                            <p class=""spoiler-tip"">这篇影评可能有剧透<"
真香,2023-03-21 10:20:07,"
                            <p class=""spoiler-tip"">这篇剧评可能有剧透<"
不聊电影,2023-03-21 23:38:57,"
                            <p class=""spoiler-tip"">这篇影评可能有剧透<"
坏人戴着黑帽子,2023-03-21 14:06:58,"

                        本文译自《经济学人》，仅供学习交流之用；原文附在译文后，翻译上请多批评，越详细越好。 ·大江健三郎讣告：父与子 大江健三郎在东京的居所素朴、幽静。他家花园里种满红枫与玫瑰，妻子尤加利的画挂在墙上。客厅是他写作的地方，里面堆满了书。他坐在扶手椅上，用双膝顶着一"
斷鴻聲里江南遊,2023-03-19 20:11:48,"
                            <p class=""spoiler-tip"">这篇剧评可能有剧透<"
Onism,2023-03-19 00:45:57,"
                            <p class=""spoiler-tip"">这篇影评可能有剧透<"
Orbiu,2023-03-19 20:11:43,"

                        1. 为何不使用职业教练？ 2. 为何大中庭跑很少有人完成？ 3. 为何为教义放弃金牌？ 4. 为何没有女性角色的塑造？ 5. 为何会得奥斯卡？ 1. 为何不使用职业教练？ 最初古希腊的奥运精神是“要么取得桂冠，要么死”，尽管如此，奥运依然属于业余活动，是贵族通过体育运动体现地位"
动作院线,2023-03-20 23:42:13,"

                        《预见未来》。8分。 李·塔玛霍瑞导演，尼古拉斯·凯奇、朱莉安·摩尔、杰西卡·贝尔主演作品。 终于刷到了一部尼古拉斯·凯奇能看的片子，自从2009年以后，凯奇大叔就没有拍过一部合格的电影。想想这是可怕。 凯奇饰演的克里斯有着可以预见未来两分钟的超能力，这令他十分痛"
ElizaSssss,2023-03-18 18:47:10,"
                            <p class=""spoiler-tip"">这篇剧评可能有剧透<"
机器の猫,2023-03-19 20:36:12,"

                        这是拍摄的很一般的B级片，主要问题是人物的无聊对话占去了影片的大多数时间，只有熊出现的时候，影片才变得稍微精彩起来，但熊出场的次数相比片中更多的无聊的对话来说要少得可怜，以至于浪费了本来有很大刻画空间的大熊一家，让它们完全沦为了推动剧情的道具，确实比较可惜，"
天鹅许愿屋,2023-03-20 16:43:53,"

                        《我的会长男友》第十一集已更新 是我看过最青春的一部剧了！ 还有一集完结，囤剧的姐妹可以冲惹~ 受的音乐社在比赛失利 伙伴间生出隔阂 攻为了振作受的信心 发起了毕业晚会歌唱投票 看到自己社团投票第一，受会心一笑 伙伴间为了消除彼此隔阂 一群人去爬山还愿 所有比赛的不甘"
椎名果园,2023-03-22 00:59:26,"
                            <p class=""spoiler-tip"">这篇影评可能有剧透<"
光纤,2023-03-20 22:32:49,"

                        “他就像堂吉诃德一样冲向不存在的敌人”，脑子里不知道为什么就蹦出了这句话。大约也是这段时间总是听到隔壁指导老师在说的缘故。 这是在说班上的一个同学，只听物理数学课，其他的课都自习自学。不过每次物理和地理都能拿满分。有一天年级主任遇到他，看他头发不合规，就随口"
乱品味陶冶情操,2023-03-20 22:22:42,"

                        港剧又双叒叕一次复兴啦！ 大家快来看美女！ 大长腿超低胸泳装夜店辣妹小礼裙一个都不能少哦： 还有这种擦边的美女贴贴挑逗戏： 请问这位大只版廖碧儿是有多喜欢穿crop top： 哦可能是监制喜欢让她穿crop top吧，毕竟在他监制的上一部剧《超能使者》里面，她已经天天在穿了： "
豆友rISWqm_xCY,2023-03-19 23:25:01,"

                        剪辑挺垃圾，剧情有点水，第八第九集真的水到爆炸了，导演就没有掌控叙事的能力 营销有恐怖剧情其实几乎没有，就漏了一眼头骨能叫可怕？热搜上营销的可都是什么人骨，伤口，反正描述的要多可怕有多可怕，实际一看，根本没发现可怕的点。 这么水的探案剧情还要穿插工业糖精，还"
emfrosztovis,2023-03-18 18:49:38,"

                        极有中世纪神韵的电影，就像莎士比亚晚期作品（《暴风雨》）是极有中世纪神韵的戏剧：它是对一种善——你也可以说一次神迹，或者（非世俗意义上的）成功——连续不断的描绘，这一描绘简单、笨拙得有点奇怪，然而它却恰恰因此才具有某种令人信服的可能：事实上，相当动人，但我"
十一的两三天,2023-03-21 17:31:02,"

                        “Sometimes I miss how things were, but nothing stays the same forever” 有时候我会怀念过去，但是没有什么是永远不变的。 “不要为任何人犹豫不前” 这是电影里我最喜欢的两句台词。 看这部电影之前，看到迪士尼新玩偶美美营业，没有get她的可爱，看了电影之后，好可爱啊"
我又炸毛啦,2023-03-22 01:12:49,"

                        看完很久，后劲还是很大。人不应该对童年抱有美好滤镜，小孩也许懵懂天真，可绝不是无忧无虑的，那些来自成人世界的恐吓、漠视、捉弄，都将在心灵留下深刻的痕迹。 尽管我自己回顾童年时，第一时间想起的，总是被长辈的爱和耐心包容的时刻，可一些特定的物件（譬如脚踏车和玻璃"
象,2023-03-22 01:05:54,"
                            <p class=""spoiler-tip"">这篇剧评可能有剧透<"
Libey玛格与海,2023-03-21 04:45:15,"
                            <p class=""spoiler-tip"">这篇剧评可能有剧透<"
陆冠均,2023-03-16 22:56:12,"

                        《曼达洛人》第三季于这个3月回归了，目前已播出了三集——尽管一直在追看该剧，但从第二季开始，我就没再为它写长文了，没想到新播的S3E3让我破了功。 主要是因为E3不像《曼达洛人》，而更像去年我最喜欢的新剧《安多》：把老丁和博卡坦等人的戏份掐头去尾后，该集近40分钟的"
啊柒,2023-03-16 00:43:49,"
                            <p class=""spoiler-tip"">这篇剧评可能有剧透<"
华北首席影评人,2023-03-20 17:16:12,"
                            <p class=""spoiler-tip"">这篇影评可能有剧透<"
情剑月夕花晨,2023-03-21 03:49:32,"
                            <p class=""spoiler-tip"">这篇剧评可能有剧透<"
windy天意晚晴,2023-03-22 09:25:50,"

                        《心想事成》最新剧情里，王一冰终于露出了他的真面目，“软饭硬吃”的手段真让人恶心，可惜了孙想这么好的姑娘。有些人说是因为孙想太蠢，可是我们站在上帝视角，自然能看清每个人是什么样，如果我们在生活中，说不定也会跟孙想一样。 1、过于讨好的追求 如果你生了一个女孩，"
