标题,内容,时间
院学子喜获第八届全国高等院校建筑软件技能认证大赛二、三等奖,11月23日至24日，第八届全国高等院校建筑软件技能认证大赛网络赛顺利落下帷幕。学院建筑工程技术和工程造价专业组建三支代表队经过两天各3个小时的激烈角逐，学院量建队、无量队分获BIM5D比赛项目二等奖、三等奖，学院量建队还获云计价比赛项三等奖。其中，在BIM5D团队...,2019/11/25
学院举行2019年第二届心理嘉年华系列活动启动仪式,为进一步增强学生心理健康意识，普及心理健康知识，营造积极健康的校园心理文化氛围，提升学生心理素质，11月14日下午，学院学生处心理健康教育与咨询中心举办2019年度第二届心理嘉年华系列活动启动仪式。学院党委副书记韦永革，大数据系与电子商务系党总支书记石铃林，...,2019/11/15
汽车工程系举行信息化教学课程建设培训,为全面提升教师信息化教学手段，进一步促进信息化课程建设，逐步实现信息化教学的常态化，11月5日，汽车工程系组织召开了教师信息化教学课程设计能力培训会。培训会邀请了超星集团技术人员为教师讲解如何使用超星平台建设课程。会上，王黔主任表示，信息化教学手段已经...,2019/11/5
会计系党总支主题党日活动,10月27日晚，黔南州教育系统“不忘初心、牢记使命”主题教育先进典型宣讲报告会在黔南州交通局多功能报告厅拉开帷幕。报告会主要介绍了韦自才、胡先运、周贤怡、吴万辉四位教师的先进典型事迹。学院会计系党总支派出四名教师代表参会。韦自才、胡先运、周贤怡、吴万辉四...,2019/10/28
做好调查研究 提升服务质量,对高职院校而言，开展“不忘初心，牢记使命”主题教育，出发点和落脚点就是要办好党和人民满意的教育，培养社会主义现代化建设的合格建设者和可靠接班人。按照这个目标任务，建筑系在院党委委员、教务处长张泽宽同志牵头下，由系党总支组织安排，于10月22日下午在该系召...,2019/10/23
践行初心使命  决战脱贫攻坚,10月14日，学院党委班子成员在党委书记罗俊带领下到三都县中和镇新阳村开展“不忘初心、牢记使命”主题教育宣讲和产业帮扶。在新阳村委，罗俊书记结合“不忘初心、牢记使命”主题教育作了宣讲。罗俊书记强调，新阳村是深度贫困村，当前最大的政治任务是决战脱贫攻坚，落...,2019/10/15
关注民生守初心  产业帮扶促发展,为扎实推进“不忘初心，牢记使命”主题教育，落实院党委书记罗俊8月中旬到帮扶联系点三都县中和镇开展调研时提出关于加大产业帮扶、发展林下养鸡产业、精准打好助推脱贫攻坚战要求，9月23日，党委副书记、院长饶辉，副院长王焱及专家技术人员到三都县中和镇水龙社区独寨...,2019/9/24
学院喜获贵州省民族团结进步创建工作示范学校,9月16日，从多彩贵州网获悉，2019年贵州省民族团结进步创建工作示范单位名单出炉，学院喜荣获2019年度“贵州省民族团结进步创建工作示范学校”。这是学院继国务院全国民族团结进步先进集体、全国民族团结进步模范单位、民族团结进步模范单位和贵州省民族团结进步先进集...,2019/9/17
我院参加贵阳市宠物诊疗行业自律协会成立大会,为进一步深入校企合作育人，深化产教融合，我院积极探索合作育人机制，积极参与宠物行业活动。9月8日-9月9日。应贵阳市宠物诊疗行业自律协会邀请，现代山地农业系选派畜牧兽医专业老师杨均、杨敬代表我院参加贵阳市宠物诊疗行业自律协会成立大会。本次大会邀请了中国农...,2019/9/10
罗俊书记深入一线指导安保工作,8月30日上午，学院党委书记罗俊亲临一线指导安保工作。罗俊书记向晨练的保安人员讲解了当前国际国内发展形势，讲述国家日趋强大过程中各行业安全工作的重要性。罗俊书记指出，保安人员是黔南职院的一员，一言一行均代表着学院的形象，工作中要保持“责任心、爱心、耐心...,2019/8/31
学生处、团委召开2019―2020学年度第一学期工作部署会,根据学院本学期工作会议精神，学生处、团委于8月17日在知行楼第二会议室召开2019―2020学年度第一学期工作部署会议。会上，学生处处长、院团委书记潘奇同志通过回顾近两年来取得的系列可圈可点的工作业绩，强调干事创业必须转变观念，勇于打破习惯过去思维，敢于创新。...,2019/8/19
我院组织毕业生到贵州毋敛古风博物院管理有限公司考察和面试,为多形式，多渠道做好毕业生就业工作，应独山县人力资源和社会保障局邀请，7月5日上午招生就业处蒙明洲副主任、管理系林裕辉副主任组织带领该系2020届旅游管理、文秘、人力资源管理3个专业近20名毕业生到贵州毋敛古风博物院管理有限公司考察和面试。贵州毋敛古风博物院...,2019/7/6
建筑工程与设计系开展缅怀革命烈士主题教育活动,6月27日，建筑工程与设计系党总支开展组织活动，系党员教师、学生党员及入党积极分子在系党总支书记杨明凯带领下，参观都匀市烈士陵园，缅怀革命先烈。杨明凯书记为参加活动的师生讲解了都匀烈士陵园的历史和与其相关的党的历史，勉励广大青年要向英雄学习，传承奉献精...,2019/6/28
饶辉院长率队到三都县中和镇新阳村调研扶贫,2019年6日21日，学院党委副书记院长饶辉及党委副书记韦永革，副院长王焱等一行五人，深入到我院扶贫点---三都县中和镇新阳村调研扶贫工作并慰问困难老党员。上午11点，院领导来到了新阳村村委会，与扶贫队长莫华健等村干部进行座谈，了解新阳村当前脱贫攻坚最新情况和脱...,2019/6/22
崇德尚技  知行合一,为落实教育部和省厅关于传统文化学习与传承十相关文件精神，践行“崇德尚技 知行合一”育人理念，近日，建筑系党总支组织10名入党积极分子到丹寨县开展为期三天的蜡染工艺及技能实训学习。本次活动由王丽、孙海洋、杨光老师带队。同学们首先到丹寨万达小镇参观蜡染作品...,2019/6/17
强基固本  砥砺前行,为了进一步加强入党积极分子思想理论教育，提高入党积极分子理论水平，确保新党员发展质量。6月3日晚，建筑系党总支组织入党积极分子观看专题片《不忘初心，继续前行》。通过观看专题片，使入党积极分子更深刻了解中国共产党全心全意为人民服务的精神，对党的性质、纲领...,2019/6/4
我院参加2019年广州市校企合作洽谈会,为做好我院毕业生就业工作，5月21-23日招生就业处副主任蒙明洲和金廷利老师参加了在广州市举行的由广州市人力资源市场服务中心、广州市青年就业创业服务中心、广州市黄埔区（开发区）人力资源分市场和广州市番禺区人力资源分市场主办的2019年广州市校企合作洽谈会。本次...,2019/5/24
学院开展消防应急疏散演练,5月9日15:30，大数据与电子商务系党总支组织全体师生在计科楼举办消防应急疏散演练活动。系党总支书记石铃林等领导对演练活动进行了现场汇报。本次演练，组织有序，行动迅速，在预定时间内全体人员安全到达集合地点。提高了广大师生的安全意识，确保师生在险情面前能够...,2019/5/10
汽车工程系召开技能与专业建设研讨会,4月27日，汽车工程系召开技能与专业建设研讨会，围绕历年参加贵州省高职院校职业技能大赛中出现的问题及专业建设方向、内容展开研讨。学院副院长金焱，院创优办负责人杨均，实训中心主任邹林出席会议。汽车工程系主任王黔，总支书记张军杰及全系所有专业课老师参加会议...,2019/4/28
农工系在省技能大赛中获奖,4月11日至4月13日，2019年贵州职业院校技能大赛暨全国职业院校技能大赛选拔赛工业分析与检验赛项在贵州省工业职业技术学院顺利落下帷幕。通过激烈角逐，我院农工系彭文娇、罗伟吉和唐令三名同学在骆治琼和宋志雪老师的指导下，获团体三等奖。此次比赛展示了我系师生的专...,2019/4/15
金焱副院长为全院师生作《纪念改革开放40周年》形势政策讲座,4月2日下午，金焱副院长在知行楼学术报告厅为全院师生作《纪念改革开放40周年》形势政策讲座。金焱副院长结合自已的经历，用生动形象的语言从改革开放的背景、改革开放历程、改革开放的辉煌成就、改革开放的宝贵经验、改革开放的重要意义等五个方面，向同学们讲述改革开...,2019/4/3
罗俊书记到盛华职院开展党建工作交流,根据省教育工委、州教育工委高校党建结对共建部署和工作要求， 3月7日，学院党委罗俊书记到盛华职院参加指导党委班子民主生活会，并就党建共建工作进行交流。本次专题民主生活会，黔南职院党委罗俊书记，惠水县委派出同志到会指导。盛华职院党委班子成员参会，党员代表...,2019/3/8
“校农合作”助力脱贫攻坚,为进一步落实州委“两会”精神和吴胜华州长关于推进黔南职院和三都县开展深度“校农合作”，决胜全面同步小康工作指示。2月25日，中和镇新阳村村“两委”、合作社到我院进行“校农合作”洽谈，双方就大宗农产品采购的价格，质量，及运输方式进行了商谈，达成了共识，为...,2019/2/27
听唐德智书记讲授思想政治理论课,12月20日上午，院党委组织60余名师生到黔南师院听取州委书记唐德智讲授的思想政治理论课。唐书记从办好人民满意教育、建设高素质教师队伍、做合格的社会主义建设者、开创教育新局面等四个方面阐释了中央、省委的教育会议精神，并对高校师生提出了殷切期望，希望高校教师...,2018/12/21
会计系学生在十二届全国大学生会计信息化技能大赛贵州赛区总决赛获佳绩,12月8日，由工业和信息化部人才交流中心主办、贵州电子商务职业技术学院和新道科技股份有限公司承办的第十二届全国大学生会计信息化技能大赛贵州赛区总决赛在贵州商务职业技术学院落下帷幕。赛场传佳音，我院会计系派出的两支代表队从来自全省18所高职院校会计专业的108...,2018/12/10
饶辉院长带队视察学院环境整治和基本建设情况,11月9日，院长饶辉对学院的环境整治和基本建设工作进行了视察。副书记胡成林，副院长金焱、王焱，党委委员张泽宽及宣传部、教务处、后勤处、保卫处等相关职能部门负责人陪同视察。饶辉院长重点察看了实训室、实训基地、食堂和学生宿舍等规划建设情况，并现场提出了整改...,2018/11/10
校企合作共建黔南州建设工程质量检测中心,为进一步加强校企间的交流，共同推进合作办学、合作育人、合作发展，提高学校人才培养质量，提升社会服务水平，促进企业的发展。10月24日上午，我院与黔南州建设工程质量检测中心签署合作协议，双方表示将从技术技能培训、新产品新技术研发、学生实习实训等校企合作项目...,2018/10/25
汽车工程系团总支举行第十五届换届大会,9月21日下午，共青团黔南民族职业技术学院汽车工程系总支委员会举行第十五届换届大会。汽车工程系党总支张军杰书记、学管主任杨屏、办公室主任杨洪敏、团总支书记邢群利以及来自院团委及各系团总支代表参加此次会议。汽车工程系团总支骆科荣学生副书记对这两年以来的工...,2018/9/22
学院举办反恐防暴反邪教专题讲座,为进一步提升师生防范恐怖袭击和反邪教的意识，强化《中华人民共和国反恐怖主义法》的宣传教育效果，9月11日下午，学院联合都匀市公安局在知行楼学术报告厅举办了“反恐防暴”和“反邪教”专题讲座。都匀市公安局国保大队刘队长、特警大队张队长，绿荫湖派出所任所长以...,2018/9/12
谭静同志荣获黔南州2017―2018年度校园安全风险防范工作先进个人,近日，州教育局下发《关于2017―2018学年度校园安全风险防范工作先进集体和先进个人的情况通报》（黔南教法发z2018{34号），我院谭静同志荣获校园安全风险防范工作先进个人。<?xml:namespace prefix = o />近年来，我院领导班子高度重视学校安全工作，坚持认真贯彻落...,2018/8/27
省委组织部部务委员冯卫东一行到我院进行党建调研,7月25日，省委组织部部务委员冯卫东一行到学院开展党建工作调研，州委组织部林娜、黄怡副部长随行调研，重点督查全省高等院校党的建设工作推进会议精神落实情况。<?xml:namespace prefix = o />院党委书记罗俊向调研组汇报的党建工作开展情况。院党委始终按照把方向、谋...,2018/7/26
我院勇夺贵州省第四届大学生运动会田径赛第一名,6月21日，从贵州省第四届大学生田径锦标赛上传来喜讯，我院大数据系16物流2班王正香同学夺得女子高职组100米第一名。本次比赛窗体顶端比赛中，我院运动员展现出的良好精神面貌和优秀体育竞技水平正是“艰苦奋斗，奋勇争先”职院精神的真实写照和生动注脚，体现了学院团...,2018/6/21
学院喜获2018年全国职业院校技能大赛三等奖,6月11日，2018年全国职业院校技能大赛“园林设计与施工”赛项在陕西省咸阳市杨凌职业技术学院圆满落幕。经过两天的努力，由学院建筑工程与设计系谢伟、殷艳两位老师指导的学生杜梦、杨昭永、赵虎俊、朱海涛四位同学荣获三等奖。<?xml:namespace prefix = o />学院师生先...,2018/6/12
会计系举行青年教师教学竞赛,为进一步加强我系教师师德建设，提升青年教师的教学能力和业务水平，同时也为选拔优秀青年教师参加学院青年教师教学大赛。5月31日下午2：30分，会计系在南区综合楼四楼多媒体教室举行首届青年教师教学竞赛。此次竞赛参赛对象为年龄40岁以下的青年专任教师，以“上好一门...,2018/6/1
学院召开2018年思想政治教育工作迎评动员大会,为进一步推进学院思想政治教育工作的深入开展，落实好学院思政迎检工作的总体部署和相关要求，5月17日下午，我院在知行楼学术报告厅召开全院教职工2018年思想政治教育工作迎评动员大会。党委书记罗俊，院长饶辉，党委副书记胡成林、韦永革，副院长张正荣参加会议。会上...,2018/5/18
大数据与电子商务系计算机教研室开展2018就业创业指导系列讲座,为进一步提升我系学生就业竞争力，增强大学生的主体意识，转变就业观念，调整就业心态，掌握求职就业的方法和技巧，为今后职业的发展奠定良好的基础。大数据与电子商务系计算机教研室邀请重庆三拍信息技术有限公司张冬林经理等一行管理人员为学生开展就业创业指导系列讲...,2018/5/4
深学笃用“五步工作法”   推动学院改革发展,在学院争创省级示范高校关键时刻，党委中心组于4月19日下午在知行楼第二会议室开展“邹联克以‘五步工作法’推动贵州教育改革”的专题学习。罗俊书记带领中心组30余名成员共同学习。罗俊书记指出，在丰富的实践基础之上，省委书记孙志刚总结提炼出了政策设计、工作部署...,2018/4/20
大数据与电子商务系举办《活动策划与执行》课程模拟发布会,为培养活动策划人才，学习和分析掌握活动在调研、策划、营销、管理等各个不同阶段的工作流程、策略、工作方法和技巧。我系组织2016级电子商务1、2、3班同学，以班级为单位自选主题，于4月10日举办模拟发布会。演出同学及嘉宾合影留念实体企业现场助阵16电商3班同学发布...,2018/4/11
学雷锋 在行动 为校园美化做贡献,"为了弘扬雷锋无私奉献的精神,充分展示当代大学生朝气蓬勃、健康向上的精神风貌，促进我校精神文明建设,3月27日中午，院团委及各系团干在知行楼集中召开“为校园做绿化，雷锋与我同行”活动，本次活动由院团委副书记赵一瑾老师负责。在活动的过程中，我们的团干不怕苦、...",2018/3/28
全院齐动开展“学雷锋，献爱心，我们在行动”系列活动,春风送暖入屠苏，迎着春天的温暖.院团委近日展开了了以“学雷锋，献爱心，我们在行动”为主题的雷锋活动月。3月8日开展的团组织生活会“雷锋精神在闪光”中每班利用黑板报、手抄报大力宣传雷锋事迹及学雷锋先进事迹，营造教育氛围。 汽车工程系开展“学雷锋、献爱心、我...,2018/3/12
建筑工程与设计系召开2017-2018学年第二学期班主任工作会,为更好地完成思政评估、创省优质学校、教学诊改三大任务，做好本学期的学生管理工作，加强班主任队伍建设，2月27日下午，建筑工程与设计系在知行楼2楼评建办召开了新学期班主任工作安排会议。系书记张泽宽、系主任何琳、学管办主任游蓉、教务主任彭成、学管办老师及全...,2018/2/28
学院组织召开创建省优质高职院校工作专题培训会,为推动学院质量工程建设，加快创建优质学校的进程，根据学院安排，于12月26日召开了全院创优质学校工作培训会。会上，获得全国职业院校信息化教学大赛二等奖的会计系教师杨露、获得省级开放性实训基地立项建设的大数据与电子商务系教师侯山分别针对职业院校信息化教学和...,2017/12/27
40个礼物40个愿望  会计系圆梦“微心愿”,12月6日下午，会计系“微心愿・V圆梦”心愿实现活动在系综合楼举行。该系主任韩真良，系党总支书记杨文，系教学主任刘天和、吴文娟、莫才义等20多位老师将40份“微心愿”礼物送到困难学生手中。活动伊始，该系主任韩真良老师表示，会计系就是大家的家，有什么困难或需要...,2017/12/7
建筑工程与设计系赴广州参加建筑五化教学研讨会,为进一步提高职业教育、高等教育质量，为经济转型升级提供更加坚实的人才支撑，11月23日至11月27日，建筑工程与设计系教师彭成、潘得猛、陈桂斌、潘岩灵、张俞、谢伟参加了广州城建职业学院举办的“产教深度融合，建筑五化教学体系的构建及应用”研讨会。会议期间，与会...,2017/11/28
2017年黔南州计算机学会年会在学院召开,为促进VR等新兴技术与教育、医疗、旅游、农业等领域的深度融合，探讨VR技术应用的创新与发展，11月18日，由黔南州计算机学会主办，学院承办的“虚拟现实（VR）与智慧生活暨‘2017黔南州计算机学会年会’”在学院召开，来自省内外的计算机及信息领域的专家学者、企业高管...,2017/11/19
建筑工程与设计系组织学习党的十九大报告精神,"为学习贯彻宣传党的十九大报告精神，切实把全系师生的思想、行动统一到党的十九大精神上来，11月9日,建筑工程与设计系组织开展第二次全体教职工政治学习讲座，集中学习十九大会议精神的主要内容。讲座邀请思政部汪政杰教授作宣讲报告，汪政杰教授以“学习十九大精神”为...",2017/11/10
院党委召开学习贯彻十九大精神专题扩大学习会,新思想引领新时代，新目标开起新征程。10月25日，在党的十九大胜利闭幕之际，院党委组织开展了一次特别的党委扩大学习会，全院党员、教师参加了集中学习，这是建院以来规模最大的专题学习会。院党委书记罗俊主持学习会。会上，院党委副书记、院长饶辉围绕十九大报告精神...,2017/10/26
建筑工程与设计系举行高职新生“知识深广，遵守礼仪”专题教育,9月11日，建筑工程与设计系为新生们举行了“知识深广，遵守礼仪”专题教育大会。会议由张泽宽书记、行政工作负责人何琳主持，教务负责人彭成、学生工作负责人游蓉以及各班班主任、新生参加会议。上午10时半，700多位新生带着喜悦、激动的心情，精神抖擞地穿着军训服来...,2017/9/12
获奖喜讯,从省教育厅传来最新消息，在2017年贵州省职业院校信息化教学大赛中，我院2016年通过“绿色人才通道”引进的财经系杨露老师参赛作品《银行存款日记账的填制》喜获一等奖；思政部负责人滕晓梅老师参赛作品《贵州民族的主要特点》喜获二等奖；建筑工程与设计系（筹）彭成...,2017/8/28
我院召开2017――2018学年度第一学期开学教职工大会,为了指明新学期学院争创优质学校这一工作方向，确保各项工作的有序开展，8月7日上午，我院2017――2018学年度第一学期开学教职工大会在知行楼讲学厅隆重召开。院长饶辉，副书记韦永革，副院长金焱、张正荣，党委委员张泽宽出席会议。全体教职工参加会议。会议由金焱副院...,2017/8/8
学院党委书记罗俊到黔南幼专进行学习宣讲,按照州教育工委的高校党委书记巡讲安排，学院党委罗俊书记于6月22日到黔南幼专进行学习宣讲。幼专全体师生党员200余人参会，党委书记张东秀主持了宣讲会。 宣讲会上，罗俊书记结合高校党建工作特点，作了《践行“两学一做”，做合格党员，当合格老师、育合格学生》主题...,2017/6/24
省政协秘书长李月成莅临我院调研,6月8日，贵州省政协秘书长、原黔南州州长李月成莅临我院调研，学院罗俊书记、张元副书记、张正荣副院长等陪同调研。期间，李月成秘书长听取了罗俊书记关于学院发展规划的情况汇报，参观了我院知行楼一楼创客中心，观看了学生自行组装的“无人机”以及通过无人机拍摄的校...,2017/6/9
计科系总支到独山县开展党建扶贫培训,为积极响应省、州委的扶贫决战攻坚号召，发挥电子商务在促进农村脱贫，建设美丽乡村的独特作用，进而探索电商扶贫新路径和模式。近日，计科系党总支组织电子商务骨干教师到独山县基长镇开展电子商务培训，助力扶贫。培训教师结合独山旅游资源、特色产品、产业发展等实际...,2017/5/12
生物工程系茶叶专业阶段性实习圆满结束,2015级高职茶叶班在系党总支的统一布署下，于4月5日至5月4日分三个小组共34人分赴都匀市高寨水库茶场有限公司、都匀市摆忙乡十里茶香茶叶专业合作社、都匀市螺丝姑娘茶业有限公司三家茶叶生产单位，通过校内、校外指导老师和学生的共同努力，圆满完成了为期一个月的“茶...,2017/5/5
计科系专业教师参加黔南州室内设计师学会筹备会议,4月25日，计科系建筑室内设计专业教师到政宇装饰公司参加黔南州室内设计师学会筹备会议。会议本着“团结、合作、互勉、共享”精神，积极筹建“黔南州室内设计师学会”，旨在激发黔南地区从事室内装饰设计专业技术人员和大专院校专业教师艺术探索和设计创新的能力，进而...,2017/4/26
计科系学生到荔波县开展艺术实践活动,4月14―15日，计科系2016级广告艺术设计专业学生到荔波县开展艺术实践活动。同学们在指导老师姜卫军、任燕的带领下分别到荔波小七孔和荔波古镇景区进行写生。通过绘画与摄影方式对景区自然风貌及古建筑进行艺术创作与记录，陶冶了学生亲近自然与生活的情操，提高了学生...,2017/4/16
罗俊书记率队赴西安招聘人才,3月27日，与中铁二十局进行校企合作、校校合作洽谈工作刚结束，院党委书记罗俊便立即率队在文化底蕴丰富的古城西安进行我院紧缺性人才引进招聘工作。此次招聘分三个工作组，分别在长安大学（原亚州著名的西安公路交通大学、西安工程学院、西北建设工程学院三校合成）、...,2017/3/29
学院喜被教育部认定为“国防教育特色学校”,　　　　近日，教育部下发《教育部关于公布2016年国防教育特色学校名单的通知》（教体艺函〔2017〕1号），我院喜在名单之列，为贵州省7所获此殊荣的唯一一所高职院校。其他6所学校分别是贵州大学、贵州师范大学附属中学、贵州省经济学校、息烽县鹿窝九年制学校、遵义航...,2017/3/9
学生处组织召开学管工作会,2月18日上午，学生处组织召开了学管工作会，院党委副书记韦永革出席会议并作工作要求。会议由学生处处长史黔匀主持。韦永革副书记会上要求：一是要进一步落实工作制度，抓好学生管理工作；二是要求各系组织好辅导员班主任老师认真学习和落实教育部令第41号《普通高等学...,2017/2/19
管理系开展茶艺师（高级）技能鉴定工作,为进一步宣传都匀毛尖茶文化，扩大都匀毛尖茶文化在校园的影响力，提高毕业生“双证率”，12月24日，管理系组织茶艺师（高级）技能鉴定。该系2015级、2016级旅游管理专业以及学院热爱茶文化的师生生共94人分别参加了高级茶艺师的理论考试和技能操作考核。...,2016/12/25
韦永革副书记参加2016中国―新西兰高等职业教育研讨会,11月28―29日，由教育部职业技术教育中心研究所、青岛职业技术学院、新西兰怀卡托理工学院、天津轻工职业技术学院主办的“2016中国―新西兰高等职业教育研讨会”在青岛职业技术学院隆重举行。来自国内60家高职院校和新西兰相关院校组织的高职教育专家和学者共200余人参...,2016/11/30
罗俊书记率队参加“中华优秀文化进职业院校”活动,人文精神是教育的灵魂，是展现现代职业教育新理念和学校特色的重要表现形式，是学院内涵建设的重要组成部分。基于对人文精神教育重要性的深刻理解，我院党委书记罗俊亲率院学生处处长史黔匀、团委副书记沈华、教务处副处长余玲、机电系学管主任罗华建及各系班主任、语文...,2016/11/17
北京大学商务考察团到我院考察指导工作,11月8日上午，中国国际经济咨询有限公司博士后工作站高级顾问车耳，国家电投集团国际矿业投资有限公司商务部主任于佳、北京大学战略研究所研究员姚志国等北京大学商务考察团一行5人，在州委副秘书长张立等人的陪同下莅临我院考察。考察团一行在党委书记罗俊等学院领导的...,2016/11/8
计科系组织召开中职学生教学意见反馈会,为及时了解计科系教学管理工作的动态和解决教学工作过程中存在的问题，10月24日下午，该系组织中职14个教学班共42名学生代表召开本学期第一次教学意见反馈会。会议由系主任助理朱尚斌主持，刘佳娴老师参加并做会议记录。　　反馈会上，朱尚斌向学生们说明了召开本次会议...,2016/10/25
