标题,大小,地点,小区,价格
整租・立水桥・溪城家园1号院・2室,2  室  1  厅  ・  80O  ・  南  ・  高楼层/15层  ・  简装,"
                立水桥                 ","
                    溪城家园1号院                ",5950
整租・立水桥・明天第一城1号院・1室,1  室  1  厅  ・  35O  ・  东南  ・  低楼层/6层  ・  简装,"
                立水桥                 ","
                    明天第一城1号院                ",4600
整租・广安门・小马厂南里・2室,2  室  1  厅  ・  58O  ・  南北  ・  低楼层/6层  ・  简装,"
                广安门                 ","
                    小马厂南里                ",6569
整租・科技园区・中海御鑫阁・1室,1  室  1  厅  ・  39O  ・  西  ・  中楼层/23层  ・  简装,"
                科技园区                 ","
                    中海御鑫阁                ",4300
整租・霍营・紫金新干线四期・2室,2  室  1  厅  ・  84O  ・  南  ・  中楼层/17层  ・  简装,"
                霍营                 ","
                    紫金新干线四期                ",5700
整租・清河・莱圳家园・1室,1  室  1  厅  ・  32O  ・  南北  ・  高楼层/18层  ・  简装,"
                清河                 ","
                    莱圳家园                ",5000
整租・青塔・青塔南里・2室,2  室  1  厅  ・  68O  ・  东西  ・  高楼层/28层  ・  简装,"
                青塔                 ","
                    青塔南里                ",5400
整租・四惠・壹线国际惠泽园・1室,1  室  1  厅  ・  49O  ・  东  ・  低楼层/9层  ・  简装,"
                四惠                 ","
                    壹线国际惠泽园                ",5800
整租・管庄・管庄西里・2室,2  室  1  厅  ・  59O  ・  南北  ・  中楼层/7层  ・  简装,"
                管庄                 ","
                    管庄西里                ",4900
整租・定福庄・泰福苑・1室,1  室  1  厅  ・  61O  ・  南  ・  高楼层/27层  ・  简装,"
                定福庄                 ","
                    泰福苑                ",5200
整租・刘家窑・方南家园一期・2室,2  室  1  厅  ・  56O  ・  南  ・  中楼层/6层  ・  简装,"
                刘家窑                 ","
                    方南家园一期                ",4700
整租・回龙观・万润家园・2室,2  室  1  厅  ・  66O  ・  北  ・  中楼层/12层  ・  简装,"
                回龙观                 ","
                    万润家园                ",5600
整租・双井・九龙花园・2室,2  室  1  厅  ・  82O  ・  东北  ・  高楼层/22层  ・  简装,"
                双井                 ","
                    九龙花园                ",8800
整租・广安门・荣丰2008・1室,1  室  1  厅  ・  33O  ・  东  ・  高楼层/28层  ・  简装,"
                广安门                 ","
                    荣丰2008                ",4500
合租・知春路・蓟门里东区・2室・房间B,2  室  1  厅  ・  15O  ・  北  ・  低楼层/15层  ・  简装,"
                知春路                 ","
                    蓟门里东区                ",3500
整租・中关村・中关村东大院・1室,1  室  1  厅  ・  47O  ・  南  ・  高楼层/6层  ・  简装,"
                中关村                 ","
                    中关村东大院                ",6800
整租・双井・广渠门外大街路南区・2室,2  室  1  厅  ・  56O  ・  南北  ・  中楼层/16层  ・  简装,"
                双井                 ","
                    广渠门外大街路南区                ",6099
整租・奥林匹克公园・拂林园・3室,3  室  2  厅  ・  140O  ・  南北  ・  低楼层/12层  ・  简装,"
                奥林匹克公园                 ","
                    拂林园                ",10450
整租・车道沟・玲珑经典・1室,1  室  1  厅  ・  38O  ・  南  ・  中楼层/16层  ・  简装,"
                车道沟                 ","
                    玲珑经典                ",5600
整租・双井・苹果社区南区・1室,1  室  1  厅  ・  55O  ・  北  ・  高楼层/22层  ・  简装,"
                双井                 ","
                    苹果社区南区                ",6480
整租・武夷花园・京贸国际城西区・1室,1  室  1  厅  ・  68O  ・  南  ・  中楼层/38层  ・  简装,"
                武夷花园                 ","
                    京贸国际城西区                ",3699
整租・安贞・安华里五区・2室,2  室  1  厅  ・  59O  ・  南北  ・  低楼层/5层  ・  简装,"
                安贞                 ","
                    安华里五区                ",7100
整租・苹果园・模式口西里・2室,2  室  1  厅  ・  61O  ・  东西  ・  高楼层/6层  ・  简装,"
                苹果园                 ","
                    模式口西里                ",4000
整租・刘家窑・石榴园北里・1室,1  室  1  厅  ・  50O  ・  南  ・  高楼层/6层  ・  简装,"
                刘家窑                 ","
                    石榴园北里                ",4500
整租・四季青・美丽西园・1室,1  室  1  厅  ・  53O  ・  南  ・  中楼层/10层  ・  简装,"
                四季青                 ","
                    美丽西园                ",6000
整租・北关・后窑小区・2室,2  室  1  厅  ・  79O  ・  南北  ・  中楼层/6层  ・  简装,"
                北关                 ","
                    后窑小区                ",3800
整租・五道口・展春园小区・1室,1  室  1  厅  ・  41O  ・  南  ・  高楼层/6层  ・  简装,"
                五道口                 ","
                    展春园小区                ",6500
整租・临河里・华业东方玫瑰D区・3室,3  室  1  厅  ・  98O  ・  南北  ・  中楼层/25层  ・  简装,"
                临河里                 ","
                    华业东方玫瑰D区                ",4900
整租・小西天・文慧园・2室,2  室  1  厅  ・  57O  ・  南北  ・  低楼层/6层  ・  简装,"
                小西天                 ","
                    文慧园                ",7200
整租・亚运村小营・太和小区・1室,1  室  1  厅  ・  36O  ・  南北  ・  中楼层/5层  ・  简装,"
                亚运村小营                 ","
                    太和小区                ",5460
整租・四惠・壹线国际惠泽园・2室,2  室  1  厅  ・  77O  ・  南  ・  低楼层/9层  ・  简装,"
                四惠                 ","
                    壹线国际惠泽园                ",6000
整租・方庄・芳群园四区・2室,2  室  1  厅  ・  61O  ・  西南  ・  中楼层/14层  ・  简装,"
                方庄                 ","
                    芳群园四区                ",5700
整租・清河・清河毛纺厂南小区・2室,2  室  1  厅  ・  54O  ・  南北  ・  高楼层/6层  ・  简装,"
                清河                 ","
                    清河毛纺厂南小区                ",5700
整租・国展・左家庄三区・2室,2  室  1  厅  ・  58O  ・  南北  ・  中楼层/6层  ・  简装,"
                国展                 ","
                    左家庄三区                ",6300
整租・望京・东洲家园・2室,2  室  1  厅  ・  88O  ・  东西  ・  高楼层/19层  ・  简装,"
                望京                 ","
                    东洲家园                ",5600
整租・方庄・10AM新坐标・1室,1  室  1  厅  ・  45O  ・  南  ・  高楼层/29层  ・  简装,"
                方庄                 ","
                    10AM新坐标                ",4850
整租・皂君庙・皂君东里・1室,1  室  1  厅  ・  36O  ・  东  ・  低楼层/6层  ・  简装,"
                皂君庙                 ","
                    皂君东里                ",6300
整租・紫竹桥・北洼西里・2室,2  室  1  厅  ・  54O  ・  西南  ・  中楼层/17层  ・  简装,"
                紫竹桥                 ","
                    北洼西里                ",7100
整租・西三旗・育新花园・1室,1  室  1  厅  ・  51O  ・  南北  ・  高楼层/6层  ・  简装,"
                西三旗                 ","
                    育新花园                ",5100
整租・崇文门・新景家园东区・1室,1  室  1  厅  ・  41O  ・  东  ・  高楼层/17层  ・  简装,"
                崇文门                 ","
                    新景家园东区                ",6200
整租・枣园・兴华园・2室,2  室  1  厅  ・  76O  ・  南北  ・  中楼层/6层  ・  简装,"
                枣园                 ","
                    兴华园                ",3900
整租・天通苑・天通苑东一区・2室,2  室  1  厅  ・  84O  ・  南  ・  中楼层/7层  ・  简装,"
                天通苑                 ","
                    天通苑东一区                ",5100
整租・南沙滩・北沙滩1号院・2室,2  室  1  厅  ・  52O  ・  南  ・  中楼层/5层  ・  简装,"
                南沙滩                 ","
                    北沙滩1号院                ",6600
整租・广渠门・东城区金桥国际公寓・1室,1  室  1  厅  ・  55O  ・  北  ・  中楼层/28层  ・  简装,"
                广渠门                 ","
                    东城区金桥国际公寓                ",6500
整租・马连洼・丽景苑・2室,2  室  1  厅  ・  62O  ・  南  ・  高楼层/10层  ・  简装,"
                马连洼                 ","
                    丽景苑                ",7200
整租・西二旗・西二旗铭科苑・1室,1  室  1  厅  ・  72O  ・  西南  ・  低楼层/18层  ・  简装,"
                西二旗                 ","
                    西二旗铭科苑                ",6500
整租・四惠・八里庄东里北巷・2室,2  室  1  厅  ・  57O  ・  南  ・  中楼层/6层  ・  简装,"
                四惠                 ","
                    八里庄东里北巷                ",5200
整租・红庙・慈云寺・1室,1  室  1  厅  ・  41O  ・  南  ・  中楼层/6层  ・  简装,"
                红庙                 ","
                    慈云寺                ",4800
整租・魏公村・万寿寺北里・2室,2  室  1  厅  ・  57O  ・  南北  ・  高楼层/5层  ・  简装,"
                魏公村                 ","
                    万寿寺北里                ",6769
整租・鲁谷・永乐西区・2室,2  室  1  厅  ・  56O  ・  南北  ・  高楼层/6层  ・  简装,"
                鲁谷                 ","
                    永乐西区                ",4100
整租・东花市・东花市北里中区・2室,2  室  1  厅  ・  55O  ・  南北  ・  低楼层/6层  ・  简装,"
                东花市                 ","
                    东花市北里中区                ",7300
整租・安定门・黄寺大街2号院・1室,1  室  1  厅  ・  41O  ・  南北  ・  中楼层/6层  ・  简装,"
                安定门                 ","
                    黄寺大街2号院                ",5800
整租・牛街・白广路6号院・1室,1  室  1  厅  ・  45O  ・  东  ・  高楼层/6层  ・  简装,"
                牛街                 ","
                    白广路6号院                ",5520
整租・东坝・单店西路2号院・1室,1  室  1  厅  ・  57O  ・  南  ・  低楼层/21层  ・  简装,"
                东坝                 ","
                    单店西路2号院                ",4500
整租・甜水园・马道口・2室,2  室  1  厅  ・  57O  ・  南北  ・  高楼层/6层  ・  简装,"
                甜水园                 ","
                    马道口                ",6300
整租・学院路・学院路14号院・1室,1  室  1  厅  ・  40O  ・  南  ・  高楼层/6层  ・  简装,"
                学院路                 ","
                    学院路14号院                ",6600
整租・十里堡・京棉新城（一厂）・2室,2  室  1  厅  ・  73O  ・  西北  ・  低楼层/32层  ・  简装,"
                十里堡                 ","
                    京棉新城（一厂）                ",6380
整租・双桥・康泉新城・2室,2  室  1  厅  ・  89O  ・  南  ・  中楼层/28层  ・  简装,"
                双桥                 ","
                    康泉新城                ",5200
整租・牡丹园・塔院迎春园・1室,1  室  1  厅  ・  38O  ・  东  ・  高楼层/17层  ・  简装,"
                牡丹园                 ","
                    塔院迎春园                ",6600
整租・安贞・安华西里一区・2室,2  室  1  厅  ・  50O  ・  南  ・  中楼层/21层  ・  简装,"
                安贞                 ","
                    安华西里一区                ",7300
整租・建国门・小羊宜宾胡同・1室,1  室  1  厅  ・  42O  ・  南  ・  中楼层/7层  ・  简装,"
                建国门                 ","
                    小羊宜宾胡同                ",5650
合租・和平街・和平街十三区・3室・房间C,3  室  1  厅  ・  11O  ・  西  ・  低楼层/5层  ・  简装,"
                和平街                 ","
                    和平街十三区                ",2800
整租・鼓楼大街・中东路121号院・2室,2  室  1  厅  ・  75O  ・  南北  ・  低楼层/28层  ・  简装,"
                鼓楼大街                 ","
                    中东路121号院                ",4900
整租・中关村・保福寺小区・1室,1  室  1  厅  ・  47O  ・  西  ・  中楼层/6层  ・  简装,"
                中关村                 ","
                    保福寺小区                ",7300
整租・广安门・荣丰2008・1室,1  室  1  厅  ・  26O  ・  东  ・  低楼层/28层  ・  简装,"
                广安门                 ","
                    荣丰2008                ",4100
整租・永定门・望坛新苑3号院・2室,2  室  1  厅  ・  71O  ・  南北  ・  中楼层/11层  ・  简装,"
                永定门                 ","
                    望坛新苑3号院                ",6700
整租・科技园区・万科蓝・2室,2  室  1  厅  ・  59O  ・  东  ・  中楼层/13层  ・  简装,"
                科技园区                 ","
                    万科蓝                ",5400
整租・天宁寺・天宁寺东里・2室,2  室  1  厅  ・  48O  ・  南北  ・  中楼层/5层  ・  简装,"
                天宁寺                 ","
                    天宁寺东里                ",5590
整租・北苑・华贸城9号院・2室,2  室  1  厅  ・  52O  ・  东西  ・  低楼层/18层  ・  简装,"
                北苑                 ","
                    华贸城9号院                ",6800
整租・双井・黄木厂6号院・1室,1  室  1  厅  ・  50O  ・  南北  ・  高楼层/6层  ・  简装,"
                双井                 ","
                    黄木厂6号院                ",5300
整租・立水桥・北方明珠・1室,1  室  1  厅  ・  55O  ・  南  ・  中楼层/35层  ・  简装,"
                立水桥                 ","
                    北方明珠                ",4800
整租・六铺炕・六铺炕二区・3室,3  室  1  厅  ・  102O  ・  东西  ・  高楼层/4层  ・  简装,"
                六铺炕                 ","
                    六铺炕二区                ",10800
整租・小西天・文慧园・2室,2  室  1  厅  ・  57O  ・  南北  ・  高楼层/6层  ・  简装,"
                小西天                 ","
                    文慧园                ",6850
整租・阜成门・北营房西里・1室,1  室  1  厅  ・  44O  ・  南  ・  高楼层/6层  ・  简装,"
                阜成门                 ","
                    北营房西里                ",6900
整租・鲁谷・远洋山水北区・2室,2  室  1  厅  ・  100O  ・  南北  ・  中楼层/26层  ・  简装,"
                鲁谷                 ","
                    远洋山水北区                ",7700
整租・阜成门・北营房西里・1室,1  室  1  厅  ・  41O  ・  南  ・  低楼层/6层  ・  简装,"
                阜成门                 ","
                    北营房西里                ",6500
整租・劲松・武圣东里・2室,2  室  1  厅  ・  54O  ・  南  ・  中楼层/6层  ・  简装,"
                劲松                 ","
                    武圣东里                ",5050
整租・木樨地・真武庙六里・2室,2  室  1  厅  ・  55O  ・  南  ・  高楼层/20层  ・  简装,"
                木樨地                 ","
                    真武庙六里                ",6900
整租・八角・八角北里・1室,1  室  1  厅  ・  44O  ・  南  ・  中楼层/6层  ・  简装,"
                八角                 ","
                    八角北里                ",3800
整租・宋家庄・安馨家苑・1室,1  室  1  厅  ・  49O  ・  南  ・  高楼层/25层  ・  简装,"
                宋家庄                 ","
                    安馨家苑                ",5400
整租・小西天・志强南园・1室,1  室  1  厅  ・  40O  ・  南北  ・  低楼层/10层  ・  简装,"
                小西天                 ","
                    志强南园                ",6500
整租・公主坟・翠微北里・1室,1  室  1  厅  ・  41O  ・  南  ・  高楼层/6层  ・  简装,"
                公主坟                 ","
                    翠微北里                ",5050
整租・六里桥・万丰路18号院・1室,1  室  1  厅  ・  60O  ・  西  ・  高楼层/26层  ・  简装,"
                六里桥                 ","
                    万丰路18号院                ",5500
整租・八角・八角南里・1室,1  室  1  厅  ・  53O  ・  西  ・  高楼层/6层  ・  简装,"
                八角                 ","
                    八角南里                ",4100
整租・公主坟・翠微南里・1室,1  室  1  厅  ・  34O  ・  西  ・  中楼层/6层  ・  简装,"
                公主坟                 ","
                    翠微南里                ",5100
整租・五道口・王庄路27号院・1室,1  室  1  厅  ・  42O  ・  南北  ・  高楼层/6层  ・  简装,"
                五道口                 ","
                    王庄路27号院                ",6700
整租・东花市・富贵园二区・1室,1  室  1  厅  ・  55O  ・  南  ・  中楼层/18层  ・  简装,"
                东花市                 ","
                    富贵园二区                ",6200
整租・东坝・康静里・1室,1  室  1  厅  ・  45O  ・  东  ・  中楼层/6层  ・  简装,"
                东坝                 ","
                    康静里                ",3500
整租・马家堡・晨光小区・2室,2  室  1  厅  ・  53O  ・  南北  ・  中楼层/6层  ・  简装,"
                马家堡                 ","
                    晨光小区                ",5888
合租・三元桥・三源里南小街・3室・房间C,3  室  1  厅  ・  7O  ・  东  ・  高楼层/12层  ・  简装,"
                三元桥                 ","
                    三源里南小街                ",1700
整租・古城・拾景名苑・1室,1  室  1  厅  ・  57O  ・  南北  ・  低楼层/21层  ・  简装,"
                古城                 ","
                    拾景名苑                ",4300
整租・四季青・美丽西园・2室,2  室  1  厅  ・  62O  ・  南  ・  低楼层/10层  ・  简装,"
                四季青                 ","
                    美丽西园                ",6800
整租・永定门・定安里・2室,2  室  1  厅  ・  50O  ・  南  ・  低楼层/6层  ・  简装,"
                永定门                 ","
                    定安里                ",5250
整租・高碑店・南太平庄北巷・2室,2  室  1  厅  ・  54O  ・  南  ・  高楼层/6层  ・  简装,"
                高碑店                 ","
                    南太平庄北巷                ",4700
整租・双榆树・满庭芳园・2室,2  室  1  厅  ・  90O  ・  南  ・  中楼层/25层  ・  简装,"
                双榆树                 ","
                    满庭芳园                ",10800
整租・惠新西街・惠新里・1室,1  室  1  厅  ・  43O  ・  南  ・  中楼层/20层  ・  简装,"
                惠新西街                 ","
                    惠新里                ",6400
整租・管庄・京通苑・1室,1  室  1  厅  ・  63O  ・  东南  ・  高楼层/24层  ・  简装,"
                管庄                 ","
                    京通苑                ",4450
整租・菜户营・金泰城丽湾・1室,1  室  1  厅  ・  64O  ・  南  ・  中楼层/21层  ・  简装,"
                菜户营                 ","
                    金泰城丽湾                ",6200
整租・红庙・红庙北里・2室,2  室  1  厅  ・  60O  ・  东西  ・  高楼层/3层  ・  简装,"
                红庙                 ","
                    红庙北里                ",6560
整租・鲁谷・永乐小区・2室,2  室  1  厅  ・  65O  ・  南北  ・  高楼层/6层  ・  简装,"
                鲁谷                 ","
                    永乐小区                ",5000
合租・宋家庄・嘉和人家・4室・房间C,4  室  1  厅  ・  9O  ・  北  ・  中楼层/21层  ・  简装,"
                宋家庄                 ","
                    嘉和人家                ",2150
整租・定慧寺・八里庄61号院・2室,2  室  1  厅  ・  59O  ・  南北  ・  高楼层/8层  ・  简装,"
                定慧寺                 ","
                    八里庄61号院                ",6400
整租・酒仙桥・驼房营南里・2室,2  室  1  厅  ・  75O  ・  南北  ・  低楼层/6层  ・  简装,"
                酒仙桥                 ","
                    驼房营南里                ",6300
整租・安贞・安华西里三区・2室,2  室  1  厅  ・  57O  ・  东  ・  高楼层/10层  ・  简装,"
                安贞                 ","
                    安华西里三区                ",7250
整租・宋家庄・鑫兆雅园北区・1室,1  室  1  厅  ・  47O  ・  南  ・  高楼层/24层  ・  简装,"
                宋家庄                 ","
                    鑫兆雅园北区                ",5300
整租・梨园・时尚街区西区・2室,2  室  1  厅  ・  64O  ・  东北  ・  高楼层/10层  ・  简装,"
                梨园                 ","
                    时尚街区西区                ",4550
整租・管庄・管庄北一里・2室,2  室  1  厅  ・  56O  ・  南  ・  高楼层/5层  ・  简装,"
                管庄                 ","
                    管庄北一里                ",4700
整租・马连洼・水利社区・2室,2  室  1  厅  ・  53O  ・  南北  ・  中楼层/5层  ・  简装,"
                马连洼                 ","
                    水利社区                ",6300
整租・牡丹园・花园北路乙28号院・2室,2  室  1  厅  ・  53O  ・  南北  ・  高楼层/6层  ・  简装,"
                牡丹园                 ","
                    花园北路乙28号院                ",7400
整租・常营・北辰福第南区・2室,2  室  1  厅  ・  85O  ・  南北  ・  高楼层/15层  ・  简装,"
                常营                 ","
                    北辰福第南区                ",6000
整租・常营・富力阳光美园・2室,2  室  1  厅  ・  88O  ・  南  ・  低楼层/27层  ・  简装,"
                常营                 ","
                    富力阳光美园                ",6300
整租・天通苑・天通苑东一区・2室,2  室  1  厅  ・  89O  ・  南北  ・  中楼层/6层  ・  简装,"
                天通苑                 ","
                    天通苑东一区                ",5300
整租・北苑・华贸城7号院・1室,1  室  1  厅  ・  54O  ・  西南  ・  中楼层/28层  ・  简装,"
                北苑                 ","
                    华贸城7号院                ",5700
整租・奥林匹克公园・林萃路10号院・2室,2  室  1  厅  ・  58O  ・  南北  ・  中楼层/7层  ・  简装,"
                奥林匹克公园                 ","
                    林萃路10号院                ",6200
整租・通州北苑・通州杨庄小区・2室,2  室  1  厅  ・  65O  ・  南北  ・  高楼层/6层  ・  简装,"
                通州北苑                 ","
                    通州杨庄小区                ",3700
整租・官园・柳巷15号院・2室,2  室  1  厅  ・  58O  ・  南北  ・  高楼层/6层  ・  简装,"
                官园                 ","
                    柳巷15号院                ",9600
整租・小西天・红联北村・1室,1  室  1  厅  ・  44O  ・  东  ・  高楼层/6层  ・  简装,"
                小西天                 ","
                    红联北村                ",5300
整租・天宁寺・天宁寺东里・2室,2  室  1  厅  ・  47O  ・  南北  ・  低楼层/5层  ・  简装,"
                天宁寺                 ","
                    天宁寺东里                ",5600
整租・四惠・八里庄东里・2室,2  室  1  厅  ・  56O  ・  南北  ・  中楼层/6层  ・  简装,"
                四惠                 ","
                    八里庄东里                ",5200
整租・苹果园・模式口南里・2室,2  室  1  厅  ・  62O  ・  南  ・  低楼层/16层  ・  简装,"
                苹果园                 ","
                    模式口南里                ",4000
整租・木樨地・西便门西里・1室,1  室  1  厅  ・  42O  ・  南  ・  中楼层/6层  ・  简装,"
                木樨地                 ","
                    西便门西里                ",5350
整租・杨庄・八角北路11号院・1室,1  室  1  厅  ・  39O  ・  南  ・  低楼层/7层  ・  简装,"
                杨庄                 ","
                    八角北路11号院                ",3800
整租・宋家庄・南方庄甲70号院・1室,1  室  1  厅  ・  71O  ・  南北  ・  中楼层/6层  ・  简装,"
                宋家庄                 ","
                    南方庄甲70号院                ",4350
整租・六里桥・莲宝路10号院・2室,2  室  1  厅  ・  59O  ・  南北  ・  高楼层/6层  ・  简装,"
                六里桥                 ","
                    莲宝路10号院                ",5700
整租・成寿寺・四方景园三区・2室,2  室  1  厅  ・  57O  ・  北  ・  低楼层/17层  ・  简装,"
                成寿寺                 ","
                    四方景园三区                ",5600
整租・管庄・管庄周井大院・1室,1  室  1  厅  ・  45O  ・  南  ・  高楼层/5层  ・  简装,"
                管庄                 ","
                    管庄周井大院                ",3800
整租・德胜门・德胜里一区・2室,2  室  1  厅  ・  45O  ・  南  ・  高楼层/6层  ・  简装,"
                德胜门                 ","
                    德胜里一区                ",6500
整租・双井・百环家园・1室,1  室  1  厅  ・  57O  ・  北  ・  中楼层/28层  ・  简装,"
                双井                 ","
                    百环家园                ",6150
整租・金融街・宣武门西大街・1室,1  室  1  厅  ・  37O  ・  南  ・  高楼层/13层  ・  简装,"
                金融街                 ","
                    宣武门西大街                ",6000
整租・望京・花家地南里・1室,1  室  1  厅  ・  49O  ・  南  ・  高楼层/6层  ・  简装,"
                望京                 ","
                    花家地南里                ",4999
整租・临河里・华远铭悦园北区・1室,1  室  1  厅  ・  58O  ・  南  ・  低楼层/30层  ・  简装,"
                临河里                 ","
                    华远铭悦园北区                ",3500
整租・安定门・安外西河沿路2号院・2室,2  室  1  厅  ・  87O  ・  南北  ・  中楼层/11层  ・  简装,"
                安定门                 ","
                    安外西河沿路2号院                ",12800
整租・方庄・芳群园二区・1室,1  室  1  厅  ・  41O  ・  东南  ・  低楼层/27层  ・  简装,"
                方庄                 ","
                    芳群园二区                ",5200
整租・燕莎・霞光里30号院・2室,2  室  1  厅  ・  55O  ・  南北  ・  低楼层/6层  ・  简装,"
                燕莎                 ","
                    霞光里30号院                ",6500
整租・华威桥・南新园・1室,1  室  1  厅  ・  55O  ・  南  ・  中楼层/26层  ・  简装,"
                华威桥                 ","
                    南新园                ",4800
